Name,Category,Description,Latitude,Longitude
"Gjende boat (Gjendebatane) ticket logistics, Gjendesheim quay",Nature & sights,"Standalone logistics entry for the boat that makes Besseggen work. 2026 season 6 Jun-19 Sept, daily service through 13 Sept (limited scheduled departures after, autumn extras announced later), up to 8 departures/day Gjendesheim-Memurubu (dated 2026 sailings already bookable online, e.g. mid-July listings live on gjende.no). Fares: Gjendesheim-Memurubu single NOK 260 adult / NOK 130 child, same-day return NOK 300 (child 150); Gjendesheim-Gjendebu single NOK 320, day return NOK 360; luggage NOK 100/item (buy labels on board or at the lodges); dogs free. Booking is required before arrival, tickets are non-refundable except in special circumstances, and July sailings sell out, so lock in dates early and screenshot the QR ticket. Parking: free max 2 h at the quay; long-stay at Reinsvangen 1.7 km with shuttle starting 30 min before the first boat (book shuttle online). Contact +47 61 23 92 93 / harald@gjende.no (no replies 21:30-07:00). Verified: gjende.no/en/time-tables/, gjende.no/en/some-practical-information/. [Detour: At Gjendesheim, ~2 km off the Valdresflye road; relevant only if doing Besseggen or sending luggage to Memurubu | Near: Beitostolen]",61.4938,8.809
Røros Bergstaden & Røros kirke (Bergstadens Ziir),Nature & sights,"UNESCO World Heritage mining town (listed 1980), founded on copper in 1644; the start line. The 1784 baroque church 'Bergstadens Ziir' seats about 1,600 and is one of Norway's largest churches. Entry NOK 60 (under 16 free with an adult); summer opening Tue-Sat 11:00-16:00. Organ concerts at 18:00 most evenings from 23 June (about 45 min, NOK 100 at the door, under 12 free). Entry is via the side doors 8 June-11 July due to main-door renovation, so this applies on the 9 July start day. Wandering Kjerkgata and Sleggveien's wooden houses takes 30-45 min and costs nothing. [Detour: On route, km 0 (route starts at Røros station, about 200 m away) | Near: Roros]",62.5748,11.3838
"Smelthytta, Røros Museum",Nature & sights,"The rebuilt copper smelter at Malmplassen, now the main museum: working scale models of the mines, smelting process and water-powered hoists. Published schedule (2025; 2026 not yet posted): open daily 10:00-17:00 from 20 June to 15 August; adult NOK 150, under 16 free with an adult, audioguide (NO/EN/DE/FR) included. Allow about 1 hour. With the church and slag heaps this is the core of a 2-3 hour Røros morning before rolling out. [Detour: On route, km 0.1 (about 200 m off track) | Near: Roros]",62.5757,11.3843
Slegghaugan slag heaps & Malmplassen,Nature & sights,"Black hills of smelting slag from 333 years of copper production (1644-1977), protected as part of the World Heritage site. Climb to the top for the best free panorama over the turf-roofed town and church; 15-20 min, always open, no ticket. [Detour: 300 m off route at km 0.1 | Near: Roros]",62.5767,11.3862
Olavsgruva mine tour (Storwartz),Nature & sights,"Guided underground tour 50 m down and 500 m in to the Miners' Hall, through the old Nyberget mine (1650s) and the newer Olav's Mine. About 1 hour, in Norwegian and English; adult NOK 220, student/senior NOK 200 (2025 prices), under 16 free with an adult. The published 2026 schedule shows 15:00 daily for 1-19 June, with July times not yet posted at time of research, so book ahead online or on +47 72 40 61 70 (phone 10:00-15:00 daily). Mine stays cold year-round, bring a layer. Verdict: the one Røros sight that does not fit a 2-3 hour town visit; it costs a half day since it sits 13 km north-east of town, away from the route. [Detour: 13 km each way by road from Røros, opposite direction to the route; realistically a half-day add-on | Near: Roros]",62.6306,11.5621
Grådalen seter valley,Nature & sights,"The route's opening act builds in two stages: tarmac then gravel up Hådalen out of Røros, and from km 18 the track turns onto Grådalsveien, a toll gravel road (cars pay, bikes free) signed towards Grådalen and Grådalssetra. From the south end of Rambergsjøen it crosses open bare-mountain seter country, a local gravel classic, before dropping into Tufsingdalen around km 40. Active grazing, big skies, no services; the farms here do not run regular cafes, so this is a ride-through landscape rather than a stop. Verified on track roughly km 18-40, topping out around 740-790 m. [Detour: On route, km 18-40 | Near: Roros]",62.387,11.696
Tufsingdalen & Mauritz Landhandel,Nature & sights,"Quiet farming valley in Os municipality west of Lake Femund; the route drops into it off Grådalen and turns west at about km 40. Mauritz Landhandel (Kopparleden 6075, on the old copper-road route 26) is the valley's country store and the practical reason to swing by: staffed daytime, self-service access around the clock outside staffed hours, useful if you pass outside shop hours. Resupply context: after this the on-route options before Alvdal (km 163) are thin; DNT's self-service Ellefsplass cabin at km 75 stocks provisions for members, and the Bergset shops in Rendalen (Joker and Coop Marked) are a ~3 km detour off the track near km 125. [Detour: About 2 km south of the route's westward turn at km 40 | Near: Tufsingdalen]",62.28634,11.73532
Femundsmarka National Park (across Lake Femund),Nature & sights,"Famous wilderness of glacier-scoured pine forest and lakes on the EAST side of Femunden, Norway's third-largest lake and largest natural one (203 km2, about 60 km long); park established 1971. Geometry check: the route never touches it. Closest practical access is Synnervika quay at the lake's north end (coordinates given), about 10 km east of the track near km 30, where the heritage boat M/S Fæmund II (on the lake since 1905, bikes allowed) starts its daily round trip at 09:00 in season, calling at Elgå on the park side. Verdict: worth knowing it is there, but it only makes sense with a full extra day; on this itinerary, admire Femund's hills from the Grådalen-Tufsingdalen descent and keep rolling. [Detour: 10-12 km each way to Synnervika quay from track km ~30, plus boat crossing; not practical without adding a day | Near: Tufsingdalen]",62.4161,11.8815
Storlegda & Sølendalen high country (Rendalen),Nature & sights,"The wilderness heart of the leg. From Øversjødalen (km ~74, where DNT's self-service Ellefsplass cabin sits 150 m off track at km 75; 12 beds, provisions, open 1 June-10 Sept) the route climbs through intact seter country in Sølendalen, sheep and cattle grazing among working summer farms, tops out at about 1,270 m near km 111, then drops roughly 1,000 vertical metres off Storlegda into the Rendalen valley, the leg's low point at about 265 m near km 124. Rendalen markets itself on exactly these mountain gravel roads. The route passes within ~3 km of Bergset, Rendalen's municipal centre with two grocery shops (worth the detour for resupply); Otnes and the Jacob Breda Bull museum lie further south and are skippable. From the valley floor the route stays east of the Glomma and climbs directly over to Jutulhogget on Jutulhoggveien, joining the Glomma valley (Rv3) only after the canyon at km ~141. [Detour: On route, km 74-130 | Near: Rendalen]",62.0258,11.2934
Nordistusetra i Sølendalen,Nature & sights,"A genuinely working dairy seter in Nordre Sølendalen that hosts visitors: dairy cows and calves on site, a simple guest cabin, traditional fare (milk cakes, coffee, smoked whitefish), fishing and paddling on the Sølna. The family is on the seter from around midsummer to early August, which matches a ~11-12 July pass-through. It sits down in the valley about 5.4 km off the high route near track km 97. Call ahead (+47 995 60 171) to confirm they are receiving visitors before committing to the detour; this is a working farm, not a cafe with posted hours. [Detour: About 5-6 km each way off route at km ~97, on valley seter roads; call ahead | Near: Rendalen]",62.02241,11.4997
Jutulhogget canyon,Nature & sights,"Billed by researchers as northern Europe's largest canyon (local sources say one of its longest), and the headline stop of the leg: 2.4 km long with walls up to 240 m. Carved in days, not millennia, by a catastrophic outburst flood of up to 180,000 m3/s when the ice dam of glacial lake Nedre Glomsjø (surface four times today's Mjøsa, volume close to Sweden's Vänern) collapsed roughly 10,400 years ago; a nature reserve since 1959 and one of the First 100 IUGS geological heritage sites. Geometry verified against the GPX: the route runs directly past the rim viewpoint at track km 140.5, on the climb out of Rendalen before the descent to the Glomma valley and Alvdal, so this is a zero-detour stop. Budget 20-30 min at the rim; a path leads partway into the canyon if legs allow. [Detour: None: the track passes the rim viewpoint at km 140.5 | Near: Alvdal]",61.99772,10.88802
"Tronfjell (Tron, 1,666 m) via Tronfjellveien",Nature & sights,"Free-standing massif towering over Alvdal with a gravel road (built in one month in 1959 for the NRK transmitter) climbing to near the summit, widely billed as Norway's second-highest road and a known strength-test climb: about 11 km and 1,160 vertical metres from the Alvdal side at around 10% average. Electronic card toll above Tronsvangen setergrend applies to cars; cyclists ride free. The summit panorama is said to take in seven parishes; the Flattron plateau halfway up carries the story of Indian philosopher Sri Ananda Acharya (Baral), who lived 28 years here (1917-1945) dreaming of a Peace University, and lies buried at about 1,400 m. Honest verdict: from Alvdal (about 480 m) this is a half-day side trip on loaded legs; only for riders banking spare hours at the Alvdal stop or taking a rest day. [Detour: Side trip from Alvdal (track km 163): roughly 11-13 km and ~1,160 m climbing each way on the gravel toll road (free for bikes) | Near: Alvdal]",62.1715,10.689
"Aukrustsenteret (Huset Aukrust), Alvdal",Nature & sights,"Museum for Kjell Aukrust, Alvdal's own author-cartoonist behind Flåklypa Grand Prix (the most-watched Norwegian film ever), in a long, low landmark building by Pritzker laureate Sverre Fehn. Artist museum NOK 185 adult; museum shop and the Solan og Ludvig cafe are free to enter, and the Flåklypatoppen moon rocket (La Pollo XIII) runs daily in the school summer holidays from 22 June (NOK 75 supplement, 8 per tour). Open daily 10:00-16:00 in summer. Geometry verified: it sits about 100 m off the track at km 163.6, right where the leg ends, so even a cafe-and-shop stop is effectively free. Good end-of-leg morale stop before the climb out of Alvdal. [Detour: None: about 100 m off route at km 163.6 in Alvdal | Near: Alvdal]",62.1136,10.6219
Huset Aukrust (Aukrustsenteret),Nature & sights,"Museum in Alvdal dedicated to author and illustrator Kjell Aukrust (creator of Flaklypa), housed in a striking long building by Pritzker Prize architect Sverre Fehn; opened 1996 as Aukrustsenteret, renamed Huset Aukrust in 2019. Holds Aukrust's drawings and a model of the Il Tempo Gigante car. A short culture stop before the route climbs out of Osterdalen, useful if you are resupplying in Alvdal anyway. [Detour: In Alvdal at track km 163, under 1 km off route | Near: Alvdal]",62.1136,10.6219
Grimsdalen protected landscape and Grimsdalsvegen toll road,Nature & sights,"Roughly 40 km gravel mountain road through what Norwegians market as 'the world's most beautiful seter valley', a protected landscape (landskapsvernomrade) between Rondane and Dovrefjell. Used for livestock and seter traffic since the 1600s; the valley holds working summer farm clusters (Tollevshaugen is the largest with 11 seters; Verkensetrene with the old Pondervangen trading site), Viking-age graves (one near the Mesaetre road dated to ~900) and large reindeer mass-trapping systems. Automated toll for motor vehicles (plate camera via youpark.no), nothing to pay on a bike; officially open about 5 June to 1 December, with sections occasionally night-closed for wild reindeer. The track rides its full length, entering from the Folldal side. [Detour: On route, approx km 190-245 | Near: Grimsdalshytta]",62.0904,9.826
Grimsdalshytta (DNT) with Rondane panorama,Nature & sights,"Historic DNT Oslo og Omegn lodge mid-valley with what ut.no calls an incredibly beautiful view toward Rondane's majestic peaks across the valley. 54 beds plus a 19-bed self-service annex; staffed with food service from roughly mid-June to mid-September (self-service rest of year outside reindeer calving season). The natural overnight or lunch stop in Grimsdalen at ~km 230. [Detour: On route, km ~230 | Near: Grimsdalshytta]",62.0911,9.6422
Vegaskillet rest area (Grimsdalsvegen/Haverdalsvegen fork),Nature & sights,"Rest stop at the road fork on the western section of Grimsdalsvegen where the side road to Haverdalseter branches off (vegaskillet means 'the road divide', not a watershed). Benches, a couple of small lakes and fishing water make it a documented break spot, about 6 km up from the Eftansae toll point on the Dovre side; you pass it on the long descent toward Dovre/Gudbrandsdalen. Note: the viewpoint name 'Gravbekkleitet' from older route notes could not be verified; Vegaskillet is the documented stop. [Detour: On route | Near: Grimsdalshytta]",62.0276,9.4181
Rondane National Park (northern edge),Nature & sights,"Norway's first national park (1962), home to wild reindeer and the iconic 2178 m Rondslottet. The route does not enter the park but rides its northern boundary through Grimsdalen, with constant views of the peaks; cycling inside the park is restricted to designated routes. Marked DNT trails into the park (e.g. toward Doralseter) start at Grimsdalshytta if you want a foot detour. [Detour: Views on route; entering the park requires a hike from Grimsdalshytta | Near: Grimsdalshytta]",61.8876,9.7966
"Musk ox safari, Dovrefjell (Hjerkinn/Dombas)",Nature & sights,"Dovrefjell holds Norway's only wild musk ox herd, one of very few in Europe and by far the easiest to reach. Guided safaris meet at Hjerkinn at 09:45 for a 10:00 start and walk 7-15 km over roughly 3-7 hours (typically ~6) depending on where the herd is. Not on the route: Hjerkinn is ~30 km northeast of Dombas up the E6, but it is one train stop away (four daily trains each direction on the Dovre line), so the practical option is a half-rest-day from Dombas (km 264). Book ahead for a July Saturday. [Detour: Off route: ~30 km each way from Dombas, or one train stop to Hjerkinn; plan a half day | Near: Dombas]",62.2231,9.55
Fokstumyra Nature Reserve,Nature & sights,"Norway's first nature reserve (protected 1923) and a Ramsar wetland (2002) on the Dovrefjell plateau: ~7.5 km2 of marsh with ~170 recorded bird species including bluethroat, common crane, hen harrier, ruff and short-eared owl. A 7 km loop trail, partly boardwalk, is the only permitted way through the reserve, so it costs real time. Worthwhile mainly for birders; others get better value staying on the route. [Detour: Off route: ~11 km north of Dombas on the busy E6 each way, plus the 7 km walking loop | Near: Dombas]",62.1366,9.2827
Sladalsvegen high mountain road,Nature & sights,"32 km summer-only toll gravel road (toll for motor vehicles only; normally opens the first Monday after 17 May) from Lesja over the plateau to Vagamo, topping out at 1180 m on an old seter and livestock track. From the open plateau you see mountains in five national parks: Dovrefjell-Sunndalsfjella (Snohetta), Dovre, Rondane, Jotunheimen and Reinheimen, followed by a long descent into Vaga. This is the route's marquee gravel sector between Dombas and Vaga (roughly km 280-310). Essentially no services on top (at most a seter serving simple food in season); carry water. [Detour: On route, summit roughly km 295 | Near: Vaga]",61.9716,9.0061
Vagakyrkja (Vaga Church),Nature & sights,"One of Norway's oldest wooden churches: originally a stave church from ~1150, rebuilt 1625-27 as a cruciform church reusing the medieval materials, including carved stave-church portals and decorative wall planks. Inside are an early-Gothic crucifix from the mid-1200s, a pulpit from ~1630 and a 1674 altarpiece. Right in Vagamo centre at km 311, a 15-minute stop alongside resupply. [Detour: On route in Vagamo centre | Near: Vaga]",61.8759,9.0977
Jutulporten rock gate,Nature & sights,"A ~25 m high rock face just above Vagamo where the light-coloured stone forms what looks like an arched gateway into the mountain, home of the jutul (mountain troll) in the tale of Jutuln and Johannes Blessom recorded by Asbjornsen. Reached by turning off at the church and following the road ~800 m, then bearing right and left toward Ovre Nordherad for a few hundred metres more. Quick, free and pairs naturally with the church and museum. [Detour: ~1-2 km off route from Vagamo centre plus a short walk | Near: Vaga]",61.8761,9.0866
Jutulheimen bygdamuseum,Nature & sights,"Vaga's small open-air folk museum near Jutulporten, with historic log buildings and exhibitions on reindeer-hunting legend Jo Gjende and woodcarver Jo Visdal. Important caveat: in summer the buildings and exhibitions are shown by appointment only (arrange via Gudbrandsdalsmusea), so it is not a drop-in stop; contact ahead if you want a tour. [Detour: On route in Vagamo, ~500 m from centre | Near: Vaga]",61.8747,9.0858
Klones historic farm estate,Nature & sights,"Farm estate on Vagavatnet documented since the 1500s; the great Storofsen flood of July 1789 destroyed about half the farm's assets. English gentleman-explorer Eardley John Blackwell (who came around 1850 with Theodore Rathbone to explore Jotunheimen, befriending hunter Jo Gjende) bought Klones in 1859 and built the grand English manor-style main house in 1867-73. An agricultural school for ~90 years (1919-2009); today it offers rooms, apartments, breakfast and dining. A practical sleep option ~2 km south of Vagamo on Rv15, essentially on the route toward Randsverk. [Detour: On or immediately beside the route, ~2 km south of Vagamo | Near: Vaga]",61.8616,9.0834
Ridderspranget gorge (Sjoa river),Nature & sights,"Dramatic slot gorge where the glacier-green Sjoa river is squeezed between rock walls, named for the medieval legend of the knight Sigvat from Valdres leaping the chasm with the bride he had stolen from Ivar Gjesling of Sandbu. The side road leaves Rv51 5 km south of Randsverk, runs ~1 km to a parking area with picnic tables and toilets, then a 250 m walk to the edge. If the GPX turns off Rv51 into Murudalen at Randsverk, this is roughly a 12 km round-trip detour; verify the exact turn against the track. Do not attempt the jump. [Detour: ~12 km round trip from the Randsverk junction plus 250 m walk (verify against GPX) | Near: Vaga]",61.6822,9.0754
Jotunheimvegen / Vinstre plateau panorama,Nature & sights,"The 45 km summer-only toll gravel road (toll for motor vehicles; open roughly late June until the snow comes in October, so confirm status if riding early season) between Skabu and Rv51 near Bygdin crosses an open mountain plateau and follows the north shores of Sandvatnet and Vinstri (Vinstre), with big-sky views to the Jotunheimen peaks, possible sightings of the local herding cooperative's reindeer, and small mountain farms along the lake. This is the scenic payoff of the Murudalen-Vinstre leg (roughly km 370-414). Note: the Besseggen ridge itself is not visible from here; its trailhead at Gjendesheim lies ~25-30 km off route via Rv51 from Randsverk and is a full-day hike, not realistic mid-tour. [Detour: On route along Vinstre's north shore (coordinates approximate) | Near: Haugseter]",61.34,8.88
Haugseter Fjellstue,Nature & sights,"Mountain lodge with 140 years of history on the north shore of Vinstre at ~km 385, the only real services on the plateau stretch between Murudalen and Bygdin: 8 apartments and 6 cabins (~74 beds), a kitchen known for traditional Norwegian food (sour cream porridge, local trout, reindeer stew), plus boat rental and fishing. Open from 19 June through September, so fine for mid-July. Useful planned stop for the night of day 3-4. [Detour: On route, km ~385 | Near: Haugseter]",61.3424,8.984
Heimatt Bakeri & Restaurant,Eat & drink,"bakery: The village bakery, run by two brothers from a local Beitostolen farm who also run the 10-seat farm-to-table 'Heilt Heimatt' tasting restaurant and Heimatt catering (ranked #3 in town on TripAdvisor). Cinnamon buns get rave reviews, some call them the best in Norway. Bygdinvegen 3782, mid-village (in the Bergo building area). Bakery operates in summer but with a smaller range than winter; restaurant runs Wed-Sat and books out. Bakery hours are short and posted on their Facebook page, so check before relying on it for breakfast. [Bakery items NOK 40-90; restaurant dinner NOK 600+]",61.2481,8.9074
Cafeen Tapasbar,Eat & drink,"cafe: Cozy cafe-bar 'full of soul' on the main drag (Bygdinvegen 3802): bistro dishes, sharing plates and tapas, homemade focus. Good relaxed dinner for two riders. Hours verified: Mon-Thu 15:00-22:00, Fri-Sat 12:00-23:00, CLOSED Sundays; kitchen until 22:00. Sister wine bar Chambre by Cafeen next door. [Mains/tapas NOK 150-300]",61.2487,8.9052
Bryggerihuset Beitostolen,Eat & drink,"pub: Highest-rated spot in town (TripAdvisor; Yelp listing updated May 2026): brewpub at Bygdinvegen 3776 with the widest beer selection in Beitostolen, gastropub food, and outdoor summer grilling. Note it sits ~200 m SE of the SPAR/roundabout cluster, on the lower stretch of Bygdinvegen. The obvious post-ride beer stop. Verify summer opening days on their Facebook/Instagram; it leans weekend-heavy outside ski season. Tel +47 924 48 646. [Beer NOK 100-140, pub food NOK 200-350]",61.2471,8.9096
Jotunstogo,Eat & drink,"restaurant: Traditional Norwegian cafe-restaurant-winebar by the Rv51 roundabout (Bygdinvegen 3783, next to SPAR), known for its Today's Special, generous portions, fast service and mountain views; they will wrap leftovers to take away. Open daily 10:00-18:00 (Sun 11:00-18:00), so it works for breakfast, lunch or an early dinner, and is one of the few places serving on Sundays. Closes 18:00, so eat early. [~NOK 200-300 per person]",61.2487,8.907
SPAR Beitostolen,Resupply (groceries),"grocery: Main resupply: full supermarket at Bygdinvegen 3783 with fresh bakery, produce, hot/cold deli counter, in-store Vitusapotek pharmacy and Post i Butikk. Open Mon-Sat 08:00-22:00 and, unusually for Norway, SUNDAYS 09:00-20:00 (tourist-resort exemption, verified). Backup options in town: KIWI at Ovrevegen 4A (closed Sundays) and Coop Extra at Stolstunet, Bygdinvegen 3762. Last proper supermarket before the Slettefjell climb to Vaset. [Normal Norwegian supermarket prices]",61.2486,8.9071
Tutjerne tarns wild camp (plateau above Beitostolen),Sleep,"freecamp: Cluster of small swimmable tarns at ~1,050 m on the open plateau 2.5-3 km NE of the village, below Knausehogda (1,123 m) and Melbyfjellet. Location verified against Kartverket's official place-name register ('Tutjerne', group of tarns, Oystre Slidre, 61.2636 N 8.9267 E). Reached via Ovrevegen/Gronasvegen and a marked, checkpoint-numbered trail network from the centre (the Knausehogda-Tutjern loop is ~6.5 km; rideable gravel most of the way, short steep push at the start). Above the treeline on uncultivated stolsvidde well over 150 m from the nearest cabins, so allemannsretten applies. Popular day-hike picnic/swim spot with a rest area: arrive in the evening, pitch discreetly away from the trail, pack out everything. [Free | No booking. Max 2 nights in one spot under allemannsretten; expect wind and possible boggy ground after rain.]",61.2636,8.9267
First Camp Beitostolen - Valdres (ex Beitostolen Hytter & Camping),Sleep,"campsite: Official campsite at Finntoppvegen 2A, ~1.2 km SE of the centre on the way in from Fagernes, within walking distance of restaurants and shops. Open year-round (verified on First Camp's live site), taken over by the First Camp chain. Cabins plus tent/van pitches, service buildings, sauna, laundry, kitchen, mini-golf, outdoor chess, playground; hiking trails start from the site. Address geocodes exactly to the listed coordinates. [Tent pitch ~NOK 350-500 for two; cabins from ~NOK 1,000-1,500 | Tent pitches normally fine on arrival; cabins should be booked ahead for mid-July (Norwegian fellesferie starts then). Contact: beitostolen@firstcamp.no.]",61.2413,8.9202
Bergo Hotell / Bergo Rom,Sleep,"hotel: Cheapest proper beds in the village: simple hotel rooms, apartments and cabins at Bygdinvegen 3782, dead centre, 100 m from SPAR and the restaurants. Doubles (incl. family rooms with sofa beds) listed from roughly USD 81-94 a night on aggregators (Kayak from $94, Planet of Hotels from $81), i.e. ~NOK 850-1,300. Many rooms face Slettefjell. Good drying/recovery option if the weather turns. Tel +47 61 35 10 00. [Double from ~NOK 850-1,300 | Book ahead for mid-July, especially Fri/Sat: Beitostolen is a busy summer hiking/cycling resort and the cheap rooms go first.]",61.2481,8.9068
Café Gjendeosen,Eat & drink,"cafe: Café at the Gjende boat pier, 200m from the DNT lodge. Freshly baked waffles, cinnamon buns and bread, plus warm dishes, ice cream and snacks. Opens one hour before the first Gjendebåten departure and closes an hour after the last boat: 06:45-21:00 in July high season, seven days a week, so the Sunday problem does not apply here. [Waffles/buns ~50-90 NOK, light meals ~100-200 NOK (estimate; no published price list)]",61.4954,8.8092
Gjendesheim Turisthytte (DNT dinner),Eat & drink,"mountain_lodge: The big staffed DNT lodge at the foot of Besseggen serves a proper three-course dinner built on local produce, with summer sittings at 19:00 and 21:00, plus breakfast. The best post-ride dinner at the stop itself. Note: DNT staffed lodges do not allow eating your own food or using stoves on the premises (confirmed in 2026 price list). Open daily through July; summer season runs roughly early/mid-June to early October. [3-course dinner 470 NOK member / 608 NOK non-member; breakfast 190/253 NOK (official 2026 DNT Oslo og Omegn prices)]",61.4943,8.8126
Bessheim Fjellstue restaurant,Eat & drink,"mountain_lodge: Family-run mountain lodge about 5 km north of Gjendesheim down Sjodalen (paved Fv51, easy spin). Well regarded kitchen: three-course dinner served daily through the summer season (5 June to 20 September in 2026), mountain trout a speciality. Open daily in July including Sundays. Dinner must be reserved by the day before: phone +47 61 23 89 13 or post@bessheim.no. [3-course dinner ~570 NOK (2025 reference; 2026 not published); breakfast ~210 NOK]",61.5146,8.853
Kiwi 243 Beitostølen,Resupply (groceries),"grocery: There is no grocery store at Gjendesheim or anywhere in Sjodalen; this Kiwi in Beitostølen (Øvrevegen 4A) is the resupply point before riding north over Valdresflye, about 28-30 km south. Crucially it is open Sundays 09:00-21:00 (tourist-area exemption), so a Sunday passage still works. Stock up fully here: next reliable shops are in Vågå or back in Beitostølen. [Standard Kiwi supermarket prices]",61.2429,8.9209
Wild camp at Nedre Leirungen (below Knutshøe),Sleep,"freecamp: Classic legal wild-camp under allemannsretten: grassy shores of lake Nedre Leirungen in Leirungsdalen, beneath the Knutshøe ridge, reached by a short walk/push from Fv51 on Valdresflye about 4 km south of Gjendesheim (roadside pull-offs). Open uncultivated mountain terrain, far more than 150m from any building, with Gjende and Knutshøe views; a known photographers' camping spot. Note tents are explicitly not allowed in the Gjendeosen/Reinsvangen parking lots, so camp here or on the heath above the lodge instead. Coordinates are the lake centroid; pitch anywhere suitable on its shores. [Free (optional: pay 125 NOK at the DNT lodge for shower/facility access as a 'telter') | No booking; arrive before dusk for flat pitches, expect wind on the plateau]",61.476,8.7954
Besseggen Fjellpark Maurvangen,Sleep,"campsite: The official campsite for the area (Hoskelivegen 27), about 4 km from Gjendesheim by the Sjoa river at ~1000m. Tent pitches plus rental cabins, modern bathrooms, guest kitchen, on-site café, sauna and fire pits. Open year-round, check-in from 15:00. They guarantee arrivals by tent a spot, so it is the safe fallback in peak July. [Hiking tent incl. 2 persons 390 NOK/night in peak season (13 June-16 Aug); extra person 40 NOK; shower 5 NOK/min; cabins from ~400 to ~1650 NOK by size (book online) | Tent: no booking needed (spot guaranteed). Cabins: book well ahead for mid-July, Besseggen peak season]",61.489,8.8455
Gjendesheim Turisthytte (DNT),Sleep,"dnt_hut: DNT's flagship staffed lodge (since 1878), ~185 beds in 1-, 2- and 4-bed rooms and dormitories, right at the Gjende boat pier and Besseggen trailhead. Showers included, linen rental available (sleeping bag liner required, rental 114-130 NOK). Summer season roughly early/mid-June to early October, operating 2026. The most atmospheric option and the only bed at the stop itself. [Dorm bed 290 NOK member / 382 non-member; 4-6 bed room 445/578; 1-3 bed room 515/670; full board (DNT pensjon) 1095-1315 member / 1430-1710 non-member (official 2026 prices) | Book ahead for mid-July (most visited lodge north of the Alps) at hyttebestilling.dnt.no; DNT tradition means nobody is turned away, worst case a mattress on the floor (186/300 NOK, only when all beds are taken)]",61.4943,8.8126
Bessheim Fjellstue og Hytter,Sleep,"hotel: Mountain lodge hotel about 5 km north of Gjendesheim overlooking Øvre Sjodalsvatnet: 27 rooms (64 beds, made beds, simple standard) plus 27 cabins/apartments (116 beds) with kitchenettes, sauna, canoe rental and a good restaurant. Summer season 5 June to 20 September 2026, on the Fv51 National Scenic Route. A comfortable cheap-hotel alternative if the DNT lodge is full. [Rooms from ~1100 NOK; cabins ~1850 NOK; breakfast ~210 NOK (2025 reference prices; confirm on booking) | Book ahead for mid-July via post@bessheim.no or +47 61 23 89 13; also on Booking.com]",61.5146,8.853
Vasetstølen,Eat & drink,"mountain_lodge: Historic stølsgard (summer-farm courtyard, 1700s/1800s log buildings) serving the best traditional food at Vaset: rømmegrøt is the signature (up to 50L served daily, order it with cured meats like the locals), plus majel soup, mountain trout, local lamb and game. Season runs 1 June to 10 Oct. Summer serving hours confirmed on the official site (June 2026): Tue-Thu 12:00-16:00, Fri-Sat 12:00-17:00, Sun 12:00-18:00, closed Mondays. Open Sunday 12 July. Cyclist-friendly, listed Mjølkevegen partner. Note: occasionally closes for private events (e.g. confirmations), so a quick call (+47 61 36 33 50) the day before is cheap insurance. [Rømmegrøt/mains roughly 150-300 NOK]",60.9934,8.9774
Sekskanten Kro og Pub,Eat & drink,"pub: The post-ride dinner option at Vaset centre: hexagonal kro/pub with daily a la carte, dish of the day, burgers, and traditional Valdres dishes (rømmegrøt, majel). Dine in or takeaway. Hours confirmed on official site (June 2026): Mon-Fri 11:00-17:00, Sat 12:00-19:00, Sun 12:00-17:00, so eat early; kitchen closes by 17:00 most days. No seasonal closure listed. Confirmed operating (sekskanten.no, +47 61 34 47 00 / 415 08 415). [Mains ~200-350 NOK]",60.9954,8.9853
Joker Vaset (Vasetsenteret),Resupply (groceries),"grocery: Main resupply for this leg and an unusually good one: named store of the year in the Joker chain (award covered by Avisa Valdres), stocks local seasonal produce plus hardware/sports goods, and is a confirmed sales outlet for Bakeriet i Valdres (Bakeriet i Bagn) baked goods. Critically, it is OPEN SUNDAYS 11:00-17:00 (cabin-area exemption), so Sunday 12 July resupply works here. Mon-Thu/Sat 09:00-18:00, Fri 09:00-21:00. Address Panoramavegen 901, 2960 Røn. Also the check-in point for Vaset Camping (same phone/email: 61 36 30 55, joker.vaset@joker.no). [Norwegian grocery prices (Joker is ~10-15% above Kiwi/Rema)]",60.9961,8.989
Langestølen Café and Store (Langestølen Kolonial og Kafé),Eat & drink,"cafe: Traditional café and convenience store (landhandel) directly on the Mjølkevegen at the north end of Tisleifjorden, about 13 km south of Vaset on the Vaset-Golsfjellet stage. Address Tisleivegen 1680, 2918 Ulnes. Listed Mjølkevegen partner: food, drinks, small shop for top-up supplies, e-bike charging. Open winter holiday, Easter and roughly four summer months, so mid-July falls in season, but hours are seasonal and not published; aim for late morning to mid-afternoon and carry backup snacks in case it is shut. [Waffles/coffee 50-120 NOK]",60.8766,8.9415
